trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:20:00,08:20:00,1_01,1,形原温泉方面形原公民館,0,1,0
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:22:00,08:22:00,2_01,2,形原温泉方面形原公民館,0,0,500
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:23:00,08:23:00,3_01,3,形原温泉方面形原公民館,0,0,700
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:24:00,08:24:00,4_01,4,形原温泉方面形原公民館,0,0,900
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:26:00,08:26:00,5_01,5,形原温泉方面形原公民館,0,0,1600
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:27:00,08:27:00,6_01,6,形原温泉方面形原公民館,0,0,1800
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:28:00,08:28:00,7_01,7,形原温泉方面形原公民館,0,0,2000
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:32:00,08:32:00,9_01,8,形原温泉方面形原公民館,0,0,3100
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:34:00,08:34:00,10_01,9,形原温泉方面形原公民館,0,0,3600
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:35:00,08:35:00,11_01,10,形原温泉方面形原公民館,0,0,4200
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:38:00,08:38:00,12_01,11,形原温泉方面形原公民館,0,0,4600
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:39:00,08:39:00,11_01,12,形原温泉方面形原公民館,0,0,5100
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:40:00,08:40:00,13_01,13,形原温泉方面形原公民館,0,0,5800
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:42:00,08:42:00,14_01,14,形原公民館,0,0,6300
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:43:00,08:43:00,15_01,15,形原公民館,0,0,6900
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:44:00,08:44:00,16_01,16,形原公民館,0,0,7300
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:45:00,08:45:00,17_01,17,形原公民館,0,0,7700
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:47:00,08:47:00,18_01,18,形原公民館,0,0,8200
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:48:00,08:48:00,19_01,19,形原公民館,0,0,8500
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:51:00,08:51:00,33_01,20,形原公民館,0,0,9300
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:53:00,08:53:00,20_01,21,形原公民館,0,0,9800
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:57:00,08:57:00,23_01,22,形原公民館,0,0,10700
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,08:59:00,08:59:00,24_01,23,形原公民館,0,0,11200
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:00:00,09:00:00,25_01,24,形原公民館,0,0,11500
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:02:00,09:02:00,26_01,25,形原公民館,0,0,12100
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:04:00,09:04:00,27_01,26,形原公民館,0,0,12600
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:05:00,09:05:00,28_01,27,形原公民館,0,0,12900
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:06:00,09:06:00,29_01,28,形原公民館,0,0,13100
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:07:00,09:07:00,31_01,29,形原公民館,0,0,13400
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:09:00,09:09:00,32_01,30,形原公民館,0,0,14000
1形原火曜・木曜・金曜・土曜_08時20分_系統101001,09:11:00,09:11:00,1_01,31,形原公民館,1,0,14500
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:35:00,09:35:00,1_01,1,形原温泉方面形原公民館,0,1,0
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:37:00,09:37:00,32_02,2,形原温泉方面形原公民館,0,0,600
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:39:00,09:39:00,31_02,3,形原温泉方面形原公民館,0,0,1200
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:40:00,09:40:00,30_01,4,形原温泉方面形原公民館,0,0,1700
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:41:00,09:41:00,27_02,5,形原温泉方面形原公民館,0,0,1900
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:43:00,09:43:00,26_02,6,形原温泉方面形原公民館,0,0,2400
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:45:00,09:45:00,25_02,7,形原温泉方面形原公民館,0,0,3000
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:46:00,09:46:00,24_02,8,形原温泉方面形原公民館,0,0,3300
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:49:00,09:49:00,23_01,9,形原温泉方面形原公民館,0,0,3900
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:53:00,09:53:00,21_01,10,形原温泉方面形原公民館,0,0,4300
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:56:00,09:56:00,20_02,11,形原温泉方面形原公民館,0,0,5500
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,09:58:00,09:58:00,33_01,12,形原温泉方面形原公民館,0,0,6700
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:00:00,10:00:00,19_02,13,形原温泉方面形原公民館,0,0,7100
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:02:00,10:02:00,18_02,14,形原温泉方面形原公民館,0,0,7400
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:03:00,10:03:00,17_02,15,形原温泉方面形原公民館,0,0,7900
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:04:00,10:04:00,16_02,16,形原温泉方面形原公民館,0,0,8400
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:05:00,10:05:00,15_02,17,形原温泉方面形原公民館,0,0,8700
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:08:00,10:08:00,14_01,18,形原公民館,0,0,9300
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:09:00,10:09:00,13_02,19,形原公民館,0,0,9800
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:10:00,10:10:00,11_01,20,形原公民館,0,0,10350
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:14:00,10:14:00,12_01,21,形原公民館,0,0,10820
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:15:00,10:15:00,11_02,22,形原公民館,0,0,11320
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:16:00,10:16:00,10_02,23,形原公民館,0,0,11770
1形原火曜・木曜・金曜・土曜_09時35分_系統102001,10:18:00,10:18:00,9_02,24,形原公民館,0,0,12470
