stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1_01,,形原公民館,,34.802272,137.189111,1_01,,0,
10_01,,金平,,34.814881,137.179883,10_01,,0,
10_02,,金平,,34.816113,137.179391,10_02,,0,
101_01,,市民病院,,34.831454,137.241903,101_01,,0,
102_01,,フィール蒲郡店,,34.83465,137.23141,102_01,,0,
103_01,,図書館,,34.831674,137.226174,103_01,,0,
104_01,,コパン前,,34.829226,137.238261,104_01,,0,
105_01,,ゲンキー,,34.82871,137.242756,105_01,,0,
106_01,,クスリのアオキ前,,34.825945,137.243566,106_01,,0,
106_02,,クスリのアオキ前,,34.825839,137.243357,106_02,,0,
107_01,,ＪＡ東部支店,,34.827341,137.245916,107_01,,0,
107_02,,ＪＡ東部支店,,34.827565,137.246194,107_02,,0,
108_01,,東部公民館,,34.827689,137.247021,108_01,,0,
109_01,,とよおかクリニック,,34.830952,137.246935,109_01,,0,
11_01,,一色,,34.820346,137.178797,11_01,,0,
11_02,,一色,,34.820451,137.178919,11_02,,0,
110_01,,平田門,,34.827015,137.249027,110_01,,0,
110_02,,平田門,,34.82716,137.248936,110_02,,0,
111_01,,白山神社,,34.82388,137.248206,111_01,,0,
111_02,,白山神社,,34.823796,137.24804,111_02,,0,
112_01,,みや児童館前,,34.819035,137.246672,112_01,,0,
113_01,,三河三谷駅,,34.818423,137.249756,113_01,,0,
114_01,,東京製綱前,,34.821819,137.250862,114_01,,0,
114_02,,東京製綱前,,34.821594,137.250953,114_02,,0,
115_01,,アクト前,,34.824082,137.251816,115_01,,0,
115_02,,アクト前,,34.823875,137.251836,115_02,,0,
116_01,,光林寺前,,34.825835,137.253549,116_01,,0,
117_01,,迫公民館,,34.829204,137.252755,117_01,,0,
118_01,,上組会館,,34.832436,137.249526,118_01,,0,
119_01,,五井眺海園,,34.83517,137.246479,119_01,,0,
12_01,,かんだ整形外科,,34.824298,137.178803,12_01,,0,
120_01,,五井町民会館,,34.836152,137.244489,120_01,,0,
120_02,,五井町民会館,,34.836266,137.244789,120_02,,0,
121_01,,五井の里,,34.834782,137.243432,121_01,,0,
122_01,,スウィングトーク前,,34.830303,137.232435,122_01,,0,
13_01,,８区集会場入口,,34.814226,137.178318,13_01,,0,
13_02,,８区集会場入口,,34.8147,137.178246,13_02,,0,
14_01,,形原温泉,,34.815555,137.175728,14_01,,0,
15_01,,大門,,34.811738,137.180103,15_01,,0,
15_02,,大門,,34.812032,137.17974,15_02,,0,
16_01,,出口,,34.808776,137.181306,16_01,,0,
16_02,,出口,,34.808978,137.181122,16_02,,0,
17_01,,あおば内科前,,34.80537,137.182256,17_01,,0,
17_02,,あおば内科前,,34.805077,137.182272,17_02,,0,
18_01,,形中大鳥居,,34.80123,137.18311,18_01,,0,
18_02,,形中大鳥居,,34.801314,137.182849,18_02,,0,
19_01,,森観音,,34.801175,137.180243,19_01,,0,
19_02,,森観音,,34.801171,137.179789,19_02,,0,
2_01,,春日浦県営住宅,,34.80473,137.19193,2_01,,0,
2_02,,春日浦県営住宅,,34.804573,137.191941,2_02,,0,
20_01,,形原神社,,34.801565,137.176943,20_01,,0,
20_02,,形原神社,,34.801066,137.176958,20_02,,0,
202_01,,バロー,,34.833429,137.225928,202_01,,0,
203_01,,貴船,,34.836623,137.227038,203_01,,0,
203_02,,貴船,,34.836808,137.227162,203_02,,0,
204_01,,赤日子神社,,34.838943,137.225686,204_01,,0,
205_01,,神東,,34.841691,137.22751,205_01,,0,
206_01,,山見堂,,34.845539,137.224125,206_01,,0,
207_01,,山本,,34.844213,137.222972,207_01,,0,
207_02,,山本,,34.844271,137.222918,207_02,,0,
209_01,,西部公民館,,34.839991,137.223009,209_01,,0,
209_02,,西部公民館,,34.839824,137.222977,209_02,,0,
21_01,,ユトリーナ,,34.799342,137.172229,21_01,,0,
210_01,,御開塔,,34.837961,137.221711,210_01,,0,
210_02,,御開塔,,34.838138,137.222039,210_02,,0,
212_01,,向山,,34.835738,137.217082,212_01,,0,
213_01,,蔵伝,,34.833827,137.218696,213_01,,0,
213_02,,蔵伝,,34.833774,137.218552,213_02,,0,
214_01,,大宮神社西,,34.831546,137.219855,214_01,,0,
214_02,,大宮神社西,,34.831506,137.219737,214_02,,0,
215_01,,和合,,34.829758,137.216712,215_01,,0,
216_01,,体育センター,,34.827667,137.21764,216_01,,0,
217_01,,地蔵ヶ崎,,34.82554,137.215977,217_01,,0,
218_01,,市役所,,34.826227,137.21993,218_01,,0,
219_01,,蒲郡駅,,34.823734,137.225879,219_01,,0,
220_01,,精文館,,34.826883,137.221888,220_01,,0,
220_02,,精文館,,34.826817,137.222006,220_02,,0,
221_01,,坂本集会場,,34.855452,137.226412,221_01,,0,
222_01,,下リ郷,,34.852754,137.228958,222_01,,0,
223_01,,柏原公民館,,34.839005,137.211208,223_01,,0,
224_01,,柏原西,,34.841774,137.209116,224_01,,0,
224_02,,柏原西,,34.841849,137.208987,224_02,,0,
23_01,,Ａコープ形原店,,34.798792,137.182874,23_01,,0,
24_01,,しあわせ会館口,,34.79668,137.180619,24_01,,0,
24_02,,しあわせ会館口,,34.796806,137.180553,24_02,,0,
25_01,,東上松,,34.794075,137.181007,25_01,,0,
25_02,,東上松,,34.793966,137.180936,25_02,,0,
26_01,,東戸甫井,,34.791386,137.183355,26_01,,0,
26_02,,東戸甫井,,34.791336,137.183452,26_02,,0,
27_01,,サンカイ前,,34.794642,137.186328,27_01,,0,
27_02,,サンカイ前,,34.794726,137.186461,27_02,,0,
28_01,,中町,,34.796438,137.186374,28_01,,0,
29_01,,上音羽,,34.798107,137.187468,29_01,,0,
3_01,,北浜海岸入口,,34.80651,137.193325,3_01,,0,
3_02,,北浜海岸入口,,34.806342,137.1933,3_02,,0,
30_01,,下音羽,,34.797117,137.187672,30_01,,0,
301_01,,三谷駅北口,,34.818423,137.249799,301_01,,0,
302_01,,権現公会堂,,34.820283,137.24941,302_01,,0,
302_02,,権現公会堂,,34.820255,137.249636,302_02,,0,
303_01,,蒲郡園芸ガーデン前,,34.822254,137.243841,303_01,,0,
303_02,,蒲郡園芸ガーデン前,,34.822028,137.244225,303_02,,0,
304_01,,三谷半ノ木,,34.823734,137.241621,304_01,,0,
304_02,,三谷半ノ木,,34.823826,137.241633,304_02,,0,
305_01,,スギ薬局三谷北店前,,34.821163,137.240197,305_01,,0,
306_01,,蒲郡クリニック前,,34.818817,137.240305,306_01,,0,
306_02,,蒲郡クリニック前,,34.818692,137.240559,306_02,,0,
307_01,,西区　神明神社北,,34.819434,137.242507,307_01,,0,
307_02,,西区　神明神社北,,34.819392,137.242496,307_02,,0,
308_01,,カフェ＆ギャラリー竹前,,34.816807,137.245106,308_01,,0,
308_02,,カフェ＆ギャラリー竹前,,34.816844,137.24506,308_02,,0,
309_01,,やま六前,,34.81689,137.241633,309_01,,0,
309_02,,やま六前,,34.81689,137.242169,309_02,,0,
31_01,,名鉄形原駅,,34.798854,137.185011,31_01,,0,
31_02,,名鉄形原駅,,34.798976,137.184786,31_02,,0,
310_01,,三谷水産高校,,34.81581,137.241373,310_01,,0,
310_02,,三谷水産高校,,34.815889,137.241672,310_02,,0,
311_01,,三谷公民館,,34.814436,137.246835,311_01,,0,
312_01,,中区　秋葉神社,,34.815387,137.24858,312_01,,0,
312_02,,中区　秋葉神社,,34.81554,137.248789,312_02,,0,
313_01,,三谷駅南口,,34.817913,137.250257,313_01,,0,
314_01,,天伯公園南,,34.815971,137.252697,314_01,,0,
314_02,,天伯公園南,,34.81591,137.25259,314_02,,0,
315_01,,松区　秋津神社,,34.812916,137.251244,315_01,,0,
315_02,,松区　秋津神社,,34.813755,137.251701,315_02,,0,
317_01,,さかえの郷前,,34.808051,137.252223,317_01,,0,
317_02,,さかえの郷前,,34.808357,137.252465,317_02,,0,
318_01,,若宮神社,,34.809164,137.254024,318_01,,0,
318_02,,若宮神社,,34.809057,137.254024,318_02,,0,
319_01,,三谷温泉,,34.806709,137.256672,319_01,,0,
32_01,,蒲信形原支店前,,34.801233,137.186768,32_01,,0,
32_02,,蒲信形原支店前,,34.801161,137.186957,32_02,,0,
320_01,,桜井眼科医院,,34.811663,137.25352,320_01,,0,
320_02,,桜井眼科医院,,34.811283,137.253847,320_02,,0,
321_01,,丸戸公園,,34.811334,137.256614,321_01,,0,
321_02,,丸戸公園,,34.811232,137.25662,321_02,,0,
322_01,,寺戸公園,,34.815061,137.255586,322_01,,0,
323_01,,星越公園,,34.815493,137.260932,323_01,,0,
324_01,,はっぴぃ前,,34.819105,137.257429,324_01,,0,
325_01,,諏訪東,,34.818181,137.255552,325_01,,0,
325_02,,諏訪東,,34.817895,137.255147,325_02,,0,
326_01,,ドミー三谷店前,,34.810785,137.250046,326_01,,0,
33_01,,かたはら児童館,,34.80431,137.177455,33_01,,0,
4_01,,北浜市営住宅,,34.807634,137.192043,4_01,,0,
4_02,,北浜市営住宅,,34.80758,137.192375,4_02,,0,
401_01,,三河大塚駅,,34.815633,137.282867,401_01,,0,
402_01,,上中島,,34.815541,137.28737,402_01,,0,
402_02,,上中島,,34.815365,137.287506,402_02,,0,
403_01,,老人ホーム,,34.819254,137.285754,403_01,,0,
403_02,,老人ホーム,,34.819124,137.286053,403_02,,0,
404_01,,里山緑地,,34.823801,137.28791,404_01,,0,
404_02,,里山緑地,,34.823769,137.287967,404_02,,0,
405_01,,丹野,,34.829642,137.284816,405_01,,0,
406_01,,山神,,34.828274,137.292624,406_01,,0,
406_02,,山神,,34.828329,137.292545,406_02,,0,
407_01,,ひめはる会館,,34.82756,137.290061,407_01,,0,
408_01,,上向山,,34.815912,137.29159,408_01,,0,
408_02,,上向山,,34.815875,137.291619,408_02,,0,
409_01,,丸山,,34.813654,137.296125,409_01,,0,
409_02,,丸山,,34.813548,137.296159,409_02,,0,
410_01,,丸山住宅,,34.812259,137.296667,410_01,,0,
411_01,,大塚中学校,,34.813691,137.293217,411_01,,0,
411_02,,大塚中学校,,34.813717,137.293268,411_02,,0,
412_01,,ゲンキー大塚店,,34.815393,137.290806,412_01,,0,
413_01,,ＪＡ大塚支店,,34.815043,137.289896,413_01,,0,
414_01,,蒲信大塚支店,,34.813495,137.285469,414_01,,0,
414_02,,蒲信大塚支店,,34.813564,137.285395,414_02,,0,
415_01,,産子山,,34.8132,137.281441,415_01,,0,
416_01,,大塚交番,,34.813975,137.283243,416_01,,0,
416_02,,大塚交番,,34.813919,137.283367,416_02,,0,
417_01,,平原,,34.813857,137.278164,417_01,,0,
418_01,,勝川,,34.813064,137.274509,418_01,,0,
419_01,,十能,,34.811478,137.268056,419_01,,0,
420_01,,蒲郡東部病院,,34.811145,137.263436,420_01,,0,
421_01,,加藤医院,,34.809976,137.268236,421_01,,0,
422_01,,神明社,,34.812488,137.273273,422_01,,0,
423_01,,蒲郡東高校入口,,34.813947,137.27738,423_01,,0,
5_01,,前野口,,34.809307,137.187967,5_01,,0,
5_02,,前野口,,34.809458,137.188115,5_02,,0,
6_01,,市川漁網前,,34.810994,137.188463,6_01,,0,
6_02,,市川漁網前,,34.811161,137.188621,6_02,,0,
7_01,,名鉄三河鹿島駅,,34.813565,137.190162,7_01,,0,
9_01,,岩上神社,,34.812839,137.183711,9_01,,0,
9_02,,岩上神社,,34.812919,137.183344,9_02,,0,
